video_id	公開日	尺秒	チャンネル	題名	判定理由	URL
AcNdyyOxyfg	NA	665	NA	Cavaliers 2026 “The Lost Boys” | Vibraphone Headcam	POV語(題名)	https://www.youtube.com/watch?v=AcNdyyOxyfg
zqKAPhk7Q3Y	20260810	725	WilliamChenowethDrums	Phantom Regiment 2026 “Bloodline” Drum Set Cam	楽器×カメラ(題名)	https://www.youtube.com/watch?v=zqKAPhk7Q3Y
7JW6Ad6mLyA	20260810	797	Ryan M	"Cavaliers 2026 | ""The Lost Boys"" Trumpet Headcam - Ryan Mullen"	POV語(題名)	https://www.youtube.com/watch?v=7JW6Ad6mLyA
0w0BQ90zgqw	20260810	524	Nostalgia Car POV Drives	POV Drive (HD 4K) - 2000 BMW 740i (E38)	POV語(題名)	https://www.youtube.com/watch?v=0w0BQ90zgqw
Js557LS26lk	20260810	902	Nate Thomas 	Bluecoats 2026 “Gravity and Grace” Baritone 2 Headcam- Nate Thomas	POV語(題名)	https://www.youtube.com/watch?v=Js557LS26lk
Zhq34Gdt3HY	20260810	887	Marching Vlogs	Bluecoats 2026 Quad Cam Victory Run - Evan Loyd	楽器×カメラ(題名)	https://www.youtube.com/watch?v=Zhq34Gdt3HY
XC1DFOSxeDA	20260810	478	Mandarin-TBAC	🤣👌👌2026 pov Must-Watch Crazy Clips Compilation #humor #fypシ #pov #fyp #foryou 😍😜	POV語(題名)	https://www.youtube.com/watch?v=XC1DFOSxeDA
7UtklBTpD0A	20260810	1689	LIM-CS POV	🔥donk (26-14) vs b1t/Heavygod syrsoN k1to | avg 3.4K ELO | Mirage POV | Aug 9, 2026	POV語(題名)	https://www.youtube.com/watch?v=7UtklBTpD0A
E0kONZIJRQI	20260810	749	Gabriel Hargis	Phantom Regiment 2026 “Bloodline” - 3rd Euphonium/Bass Trombone head cam	POV語(題名)	https://www.youtube.com/watch?v=E0kONZIJRQI
TAlRK7Pyi2A	20260810	981	Eliza Van Zee	Bluecoats 2026 3rd Trumpet Leslie Soloist Cam - Victory Run - Eliza Van Zee	楽器×カメラ(題名)	https://www.youtube.com/watch?v=TAlRK7Pyi2A
KOVv5AgkQdI	20260810	766	David Elgourt	Blue Devils B Snare Cam - Victory Run	楽器×カメラ(題名)	https://www.youtube.com/watch?v=KOVv5AgkQdI
FCV46NoVgJc	20260810	869	Allison Roush	Bluecoats 2026 - Victory Run - Rifle Cam	楽器×カメラ(題名)	https://www.youtube.com/watch?v=FCV46NoVgJc
YzAmT1YGtLc	20260810	763	Alexis Lau	Troopers 2026 Euph/Trombone 3 Headcam	POV語(題名)	https://www.youtube.com/watch?v=YzAmT1YGtLc
mAOwtiC_0DQ	20260809	841	natcharles123	"Carolina Crown 2026 ""The Doors of Perception"" Lead Baritone / Bass Trombone Headcam Nathan Oester"	POV語(題名)	https://www.youtube.com/watch?v=mAOwtiC_0DQ
opDOLSpSIcI	20260809	716	joonbug	Crossmen 2026 - A Side / B Side Synth 1 Headcam	POV語(題名)	https://www.youtube.com/watch?v=opDOLSpSIcI
1moJIMkIYWo	20260809	756	Rowan Shoemaker	Pacific Crest 2026 - “Irresistible” - Rowan Shoemaker Baritone Headcam	POV語(題名)	https://www.youtube.com/watch?v=1moJIMkIYWo
E5z9CNb70fc	20260809	1144	Riley Bryant	Bluecoats Tuba Cam 2026 Victory Run	楽器×カメラ(題名)	https://www.youtube.com/watch?v=E5z9CNb70fc
i4y2v-EdE6Y	20260809	852	Riley Bryant	Bluecoats Tuba Cam 2026	楽器×カメラ(題名)	https://www.youtube.com/watch?v=i4y2v-EdE6Y
bSgaM3njBy8	20260809	528	Mandarin-TBAC	🤣👌👌2026 pov Must-Watch Crazy Clips Compilation #humor #fypシ #pov #fyp #foryou 😍😜	POV語(題名)	https://www.youtube.com/watch?v=bSgaM3njBy8
v3ygQxVAYgU	20260809	806	M.A.C Films	Boston Crusaders 2026 Lead Baritone/Clarinet Soloist Headcam	POV語(題名)	https://www.youtube.com/watch?v=v3ygQxVAYgU
bHw33Eq2qfk	20260809	1354	LIM-CS POV	🔥HeavyGod (32-10) 1.83 Rating | avg 2.9K ELO | Cache POV | Aug 9, 2026	POV語(題名)	https://www.youtube.com/watch?v=bHw33Eq2qfk
MeI-qy07oLQ	20260809	1313	LIM-CS POV	🔥Jimpphat (24-8) 1.49 Rating | avg 2.9K ELO | Mirage POV | Aug 8, 2026	POV語(題名)	https://www.youtube.com/watch?v=MeI-qy07oLQ
h3x0kAnVZw8	20260809	1164	LIM-CS POV	🔥donk (24-6) 1.98 Rating | avg 3.2K ELO | Dust2 POV | Aug 9, 2026	POV語(題名)	https://www.youtube.com/watch?v=h3x0kAnVZw8
OYJdjCgAPhM	20260809	1092	LIM-CS POV	🔥Magnojez (24-6) 2.40 Rating | avg 3.2K ELO | Dust2 POV | Aug 8, 2026	POV語(題名)	https://www.youtube.com/watch?v=OYJdjCgAPhM
v2fup646Q8A	20260809	840	KeenanGlimpseMusic	Bluecoats 2026 “Gravity & Grace” Bass Trombone / Baritone Victory Run Headcam	POV語(題名)	https://www.youtube.com/watch?v=v2fup646Q8A
t1dbokf6IzM	20260809	789	Kashton Hansen	Blue Stars 2026 | Collection ‘26: The Galleries | Top-Split Lead Baritone Head Cam | (backflip fail)	POV語(題名)	https://www.youtube.com/watch?v=t1dbokf6IzM
MnIqdk468qU	20260809	847	Kaiden Furton	Blue Devils 2026 | Zei | Vibraphone Headcam - Kaiden Furton	POV語(題名)	https://www.youtube.com/watch?v=MnIqdk468qU
DJss14UTebA	20260809	1484	Just Drive POV	2026 Genesis GV80 Coupe V6 3.5T-GDi AWD POV night drive	POV語(題名)	https://www.youtube.com/watch?v=DJss14UTebA
k-aLlnvPZ3k	20260809	713	Henry Duff	Crossmen 2026 Marimba 2 Headcam - Finals Week [Henry Duff]	POV語(題名)	https://www.youtube.com/watch?v=k-aLlnvPZ3k
ubgOSmEr1Yo	20260809	803	Dcdrums	Bluecoats victory run pit cam	楽器×カメラ(題名)	https://www.youtube.com/watch?v=ubgOSmEr1Yo
bcK_2WzNqxo	20260809	717	Cody Jones-DeVol	Crossmen 2026 Center Marimba Headcam [Cody Jones-DeVol]	POV語(題名)	https://www.youtube.com/watch?v=bcK_2WzNqxo
RZh6WAVh-kA	20260809	903	Cameryn Key	Bluecoats 2026 Gravity & Grace Victory Run- Cam Key trumpet headcam	POV語(題名)	https://www.youtube.com/watch?v=RZh6WAVh-kA
-PvnsSEuogg	20260808	736	superspork76	Gold DBC 2026 Xylo Headcam | Ethan Liu	POV語(題名)	https://www.youtube.com/watch?v=-PvnsSEuogg
t1l-7JT0ACE	20260808	3206	TheTopher	2004 Dodge Viper SRT-10 - POV Road Trip	POV語(題名)	https://www.youtube.com/watch?v=t1l-7JT0ACE
n9swzaD__j4	20260808	1562	Scrambler POV	Night is day now | GoPro Mission 1 Pro | 8K	POV語(題名)	https://www.youtube.com/watch?v=n9swzaD__j4
vWFOsYqcCGI	20260808	1195	LIM-CS POV	🔥flameZ (19-6) 1.59 Rating | avg 3.1K ELO | Cache POV | Aug 8, 2026	POV語(題名)	https://www.youtube.com/watch?v=vWFOsYqcCGI
-MLVh0_ZWqo	20260808	1915	LIM-CS POV	donk w/Magnojez 2.58KD avg 3.4K ELO | Dust 2 POV | Aug 7, 2026	POV語(題名)	https://www.youtube.com/watch?v=-MLVh0_ZWqo
X6TM-GdZ4NU	20260808	1395	LIM-CS POV	🔥ZywOo vs apEX FACEIT FRPL HUB | Dust2 POV | Aug 7, 2026	POV語(題名)	https://www.youtube.com/watch?v=X6TM-GdZ4NU
Cda06CS_BSo	20260808	1772	LIM-CS POV	🔥kyousuke (27-12) 1.46 Rating | avg 3.4K ELO | Nuke POV | Aug 7, 2026	POV語(題名)	https://www.youtube.com/watch?v=Cda06CS_BSo
rjKK8OlbEGc	20260808	1935	LIM-CS POV	donk SoloQ 2.15KD +26ELO😁avg 3.3K ELO | Anubis POV | Aug 7, 2026	POV語(題名)	https://www.youtube.com/watch?v=rjKK8OlbEGc
LXN5hMjBNU8	20260808	957	Just Drive POV	2026 Volvo EX90 POV drive	POV語(題名)	https://www.youtube.com/watch?v=LXN5hMjBNU8
I-biN74qEeE	20260808	643	Jon Connors Music	Pacific Crest 2026 Headcam | Jon Connors	POV語(題名)	https://www.youtube.com/watch?v=I-biN74qEeE
