video_id	チャンネル	題名
UNwPMhqvucs	Bluecoats	#theBLUECOATS Finals Week Snare Cam
kOjkI1j7YMo	Trumpet 6	2017 King Philip Marching Band Show Trumpet Cam
w9m2PY81YqA	Belle-raphon	2018 1021 2018楽器フェア東京ビックサイト屋内GoPro 京都橘高等学校吹奏楽部
y4Vpr3mQvtw	Brock Playz	2018 MCDC Colorguard gopro
fKNTYjvKVAA	OBBCchannel	2019 大濠高校 マーチング 【 UNBA∠ANCE 】 Prop Cam
3VpPvG2XBIY	ピンポンパ―ル	2019.10.27  【GOPRO撮影】甲西高等学校吹奏楽部 ♪パレード♪ クサツハロウィン2019【4K】
p8Z226kb97Y	ピンポンパ―ル	2019.11.10 【GOPRO撮影】京都橘高等学校吹奏楽部(Kyoto Tachibana S.H.S. Band) 長岡京ガラシャ祭り2019 ♪パレード♪【4K】
_UE-6XckWgk	Tsubame Planning（吹奏楽・マーチングチャンネル）	2019.11.10 京都橘高等学校吹奏楽部／＜Gopro撮影バージョン＞長岡京ガラシャ祭2019
p66rqOIZAWk	ピンポンパ―ル	2019.8.18 東邦高校吹奏楽部  広小路夏まつりパレード2019(Gopro版)
IVkc0dvmi1Q	Tsubame Planning（吹奏楽・マーチングチャンネル）	2021.07.18 北海道札幌国際情報高等学校吹奏楽部 「Uptown Funk!」「恋」「うれしい！たのしい！大好き！」他／千歳アウトレットモール・レラ 演奏会（Gopro撮影）
H_EDa-J1F9Y	Tsubame Planning（吹奏楽・マーチングチャンネル）	2022.05.04 精華女子高等学校吹奏楽部／博多どんたく港まつり（2日目）パレード（Goproバージョン）（博多どんたく2022）
-59yMzWRLro	Nicholas Goldfarb	2023 UGA Redcoat Marching Band - Baritone Cam (UAB Halftime)
E6G-Fm8MEM8	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.05.04 精華女子高等学校吹奏楽部／【Goproバージョン】第62回博多どんたく港まつり 花のマーチングパレード
Np9KByXpm4c	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.07.25 大阪府立桜和・南・西・扇町総合高等学校吹奏楽部 OHGIES／大阪天満宮「天神祭」パレード（Gopro撮影バージョン）
qF7ZywG9ShQ	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.10.01 東海大学吹奏楽研究会／第56回伊勢原観光道灌まつり（Goproバージョン）
47EPSJ9XCpA	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.10.29 島根県立出雲商業高等学校吹奏楽部／出雲ドーム かみあり吹奏楽フェスタ2023 プレイベント ゆめタウン出雲 店内パレード＜Gopro撮影＞
TX-yy1xk_GE	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.11.03 島根県立出雲商業高等学校吹奏楽部／「灯台ワールドサミットin 出雲」開催記念パレード（Gopro バージョン）
4W6Jft2owzs	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.03.30 島根県立出雲商業高等学校吹奏楽部／サンロードなかまち  ひなめぐり2024（Goproバージョン）
3id5ZYkRDLE	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.05.12 八王子学園八王子高等学校吹奏楽部／第3回八王子よこやま南マーチングフェスティバル（Gopro撮影バージョン）
csGAznWwMio	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.08.17 習志野市立習志野高等学校吹奏楽部／富士河口湖音楽祭2024 パレード（Gopro映像）
