種別,分類,動画での表示名,団体/チーム名,配信日,大会名,URL,動画配信元,動画配信元URL
ライブ（チャプター）,スリークロスチーム,オープニング演奏【横浜中田ジュニアマーチングバンド】,横浜中田ジュニアマーチングバンド,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=1725s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,井上 こすず,井上 こすず,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=2253s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,橋本 希愛,橋本 希愛,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=2543s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,Uneven,Uneven,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=2760s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,TP Virus,TP Virus,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=3058s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,Splendore,Splendore,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=3408s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,15gals,15gals,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=3736s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,Emotion Doll,Emotion Doll,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=4056s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,Dreamers,Dreamers,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=5548s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,THE 永野 STARS,THE 永野 STARS,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=5913s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,Angelus,Angelus,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=6170s,マーチング祭,https://www.youtube.com/@marching-matsuri
ライブ（チャプター）,スリークロスチーム,Lynoir,Lynoir,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=6554s,マーチング祭,https://www.youtube.com/@marching-matsuri
