種別,分類,動画での表示名,団体/チーム名,配信日,大会名,URL,動画配信元,動画配信元URL
動画,マーチング団体等,FUKUOKA DreamScouts performance corps,FUKUOKA DreamScouts performance corps,2026-03-18,2025 DCJ ALL JAPAN CHAMPIONSHIPS FUKUOKA DreamScouts performance corps,https://www.youtube.com/watch?v=ktSQPm8RrJU,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,横浜市立西谷中学校マーチングバンド部 Splash Hearts,横浜市立西谷中学校マーチングバンド部 Splash Hearts,2026-03-17,2025 DCJ ALL JAPAN CHAMPIONSHIPS 横浜市立西谷中学校マーチングバンド部 Splash Hearts,https://www.youtube.com/watch?v=jLnXRrpljIU,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,Yokohama City Heian Elementary School Marching Band,Yokohama City Heian Elementary School Marching Band,2026-03-13,2025 DCJ ALL JAPAN CHAMPIONSHIPS Yokohama City Heian Elementary School Marching Band,https://www.youtube.com/watch?v=L_pT4ES0JWU,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,Yokohama Municipal Futoo Elementary School Marching Band,Yokohama Municipal Futoo Elementary School Marching Band,2026-03-12,2025 DCJ ALL JAPAN CHAMPIONSHIPS Yokohama Municipal Futoo Elementary School Marching Band,https://www.youtube.com/watch?v=4xkLSJOZ87U,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,座間 Marching Band to INFINITY,座間 Marching Band to INFINITY,2026-01-24,2025 DCJ ALL JAPAN CHAMPIONSHIPS 座間 Marching Band to INFINITY,https://www.youtube.com/watch?v=z7NrK0mkI1Y,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,湘南ドルフィンズ・マーチングバンド,湘南ドルフィンズ・マーチングバンド,2026-01-13,2025 DCJ ALL JAPAN CHAMPIONSHIPS 湘南ドルフィンズ・マーチングバンド,https://www.youtube.com/watch?v=XBL98TaG-gg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,Phoenix Regiment Drum & Bugle Corps,Phoenix Regiment Drum & Bugle Corps,2026-01-09,2025 DCJ ALL JAPAN CHAMPIONSHIPS Phoenix Regiment Drum & Bugle Corps,https://www.youtube.com/watch?v=oub1CPL1gT0,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,Imperial Sound Drum & Bugle Corps,Imperial Sound Drum & Bugle Corps,2026-01-06,2025 DCJ ALL JAPAN CHAMPIONSHIPS Imperial Sound Drum & Bugle Corps,https://www.youtube.com/watch?v=VT1udrDXkF4,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,SENDAI Verdures,SENDAI Verdures,2025-12-26,2025 DCJ ALL JAPAN CHAMPIONSHIPS SENDAI Verdures,https://www.youtube.com/watch?v=RrUHxkg8bn8,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,つつじが丘ジュニアマーチングバンド,つつじが丘ジュニアマーチングバンド,2025-12-23,2025 DCJ ALL JAPAN CHAMPIONSHIPS つつじが丘ジュニアマーチングバンド,https://www.youtube.com/watch?v=gXmYbPcsmf4,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,THE FOCUS,THE FOCUS,2025-12-19,2025 DCJ ALL JAPAN CHAMPIONSHIPS THE FOCUS,https://www.youtube.com/watch?v=4OWd1aheR10,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
動画,マーチング団体等,Tokyo Phoenix Drum & Bugle Corps,Tokyo Phoenix Drum & Bugle Corps,2025-12-16,2025 DCJ ALL JAPAN CHAMPIONSHIPS Tokyo Phoenix Drum & Bugle Corps,https://www.youtube.com/watch?v=RazBqUMtrc4,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV
