種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
動画,海外,Reading Buccaneers,Reading Buccaneers,o1vgpyot,2026-08-08,【2026 DCI All-Age World Championship】Reading Buccaneers「Simplexity」【Finals】,https://www.youtube.com/watch?v=-DBuhBRi1Tk,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Phantom Regiment Alumni Corps,Phantom Regiment Alumni Corps,o12mfded,2026-08-08,【2026 DCI World Championship】Phantom Regiment Alumni Corps「70th Anniversary Show（Spartacus）」【Semifinals】,https://www.youtube.com/watch?v=4l_xlpbnjgM,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Troopers,Troopers,of59uo4,2026-08-08,【2026 DCI World Championship】Troopers「Into Darkness」【Finals】,https://www.youtube.com/watch?v=C2XcEJ0DBKE,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Pacific Crest,Pacific Crest,o1j7qer0,2026-08-07,【2026 DCI World Championship】Pacific Crest「Irresistible」【Semifinals】,https://www.youtube.com/watch?v=Ajjf41rENx4,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Colts,Colts,o31cfpv,2026-08-07,【2026 DCI World Championship】Colts「American Experiment」【Semifinals】,https://www.youtube.com/watch?v=L_wn6u6SmvA,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Gold,Gold,o1nxasum,2026-08-06,【2026 DCI World Championship】Gold「Luminous」【Prelims】,https://www.youtube.com/watch?v=0_QOeBS3whQ,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Carolina Crown,Carolina Crown,o46167m,2026-08-06,【2026 DCI World Championship】Carolina Crown「The Doors of Perception」【Prelims】,https://www.youtube.com/watch?v=xjlAlBohQtI,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Gold,Gold,o1nxasum,2026-07-07,【2026 DCI West】Gold「Luminous」,https://www.youtube.com/watch?v=sBrMxhBWKD0,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Blue Devils / Santa Clara Vanguard,Blue Devils / Santa Clara Vanguard,o14ngmku,2026-07-06,【2026 DCI West】Blue Devils / Santa Clara Vanguard 合同アンコール,https://www.youtube.com/watch?v=uW2gL-lpyBU,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Santa Clara Vanguard,Santa Clara Vanguard,o7if6wk,2026-06-26,【2026 SCV Showcase】Santa Clara Vanguard「With Reckless Abandon」,https://www.youtube.com/watch?v=Jv3hrJdsCqk,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Mandarins,Mandarins,o16lw4sx,2026-05-21,【2025 DCI World Championship】Mandarins「If I Must Fall」【Finals】,https://www.youtube.com/watch?v=9KZ8jMP5BfY,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Gold,Gold,o1nxasum,2025-07-23,【2025 DCI Southwestern Championship】Gold「The Demon Barber of Fleet Street」,https://www.youtube.com/watch?v=V7K8XhIkVFw,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Mandarins,Mandarins,o16lw4sx,2021-08-13,【2021 DCI Celebration】Mandarins「Beyond the Canvas」,https://www.youtube.com/watch?v=jWASCL1lVBI,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Blue Stars,Blue Stars,oer86qt,2021-08-07,【2021 Music on the March】Blue Stars「@ The Top of the World」,https://www.youtube.com/watch?v=hv1xpcgXwLs,FloMarching,https://www.youtube.com/@FloMarching,
動画,海外,Phantom Regiment,Phantom Regiment,odxsqnq,2021-08-01,【2021 Drums on Parade】Phantom Regiment「Harmonic Journey」,https://www.youtube.com/watch?v=Jwm29vnh_0w,FloMarching,https://www.youtube.com/@FloMarching,
