種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
ライブ（チャプター）,スリークロスチーム,綾北B,綾北B,o1t09c6f,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/4,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=9032s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,湘南ドルフィンズマーチングバンド,湘南ドルフィンズ・マーチングバンド,o1nov4hn,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/5,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=8595s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Angelus,Angelus,o19cl1yl,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/6,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=8260s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,THE 永野STARS,THE 永野 STARS,o1o6klx2,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/7,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=8003s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,綾北C,綾北C,o1sq9qhg,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/8,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=7655s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,JINRO LINE from Revolt,JINRO LINE from Revolt,o1wwf9pb,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/9,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=7362s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Natsuki+Miyuki+Mizuki+Shunsuke,Natsuki+Miyuki+Mizuki+Shunsuke,o2a87j,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/10,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=7101s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,わんでいぴゅあfrom Revolt,わんでいぴゅあfrom Revolt,o1w1giiy,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/11,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=6773s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,SVCG,SVCG,obzw4bz,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/12,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=5319s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Splendore,Splendore,odxbtsu,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/13,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=4975s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,干支一周余り from Revolt,干支一周余り from Revolt,o3cpic1,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/14,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=4241s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Mirai,Mirai,o13ij1qm,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/15,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=3928s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Ryu,Ryu,o1vy5zdc,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/16,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=3642s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Naoya,Naoya,o1pd3ajk,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/17,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=3298s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Nana,Nana,o1bnp7y4,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/18,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=3011s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Emotion Doll,Emotion Doll,ociktv6,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/19,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=2596s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,ゆうへい,ゆうへい,om9cmqo,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/20,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=2292s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,SOUI,SOUI,o1yfmeak,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/21,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=1925s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,終幕,,o10hrlsx,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/22,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=19219s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,"【Winners' Show】""Keys""","""Keys""",o1stc8b4,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/23,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=18825s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】JINRO LINE from Revolt,JINRO LINE from Revolt,o1wwf9pb,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/24,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=18467s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】Lynoir,Lynoir,oer4u3j,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/25,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=18068s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】Mirai,Mirai,o13ij1qm,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/26,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=17726s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,スリークロス応援の楽しみ方（Special Thanks Ryu),,o1xepif1,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/27,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=17612s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,横浜隼人中学・高等学校チアダンス部 Falcons☆,横浜隼人中学・高等学校チアダンス部 Falcons☆,om9u9k3,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/28,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=13871s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
